title,thumbnail,description,publishedAt,tags
"Détesté des hackers, l’antivirus Norton est à prix riquiqui au Black Friday",https://www.journaldugeek.com/app/uploads/2024/11/norton-black-friday-offres.jpg,"Vous souhaitez protéger votre ordinateur, votre smartphone ou encore des appareils de votre famille ? Si tel est le cas, vous tombez au bon moment : le Black Friday est toujours l'occasion de faire de très belles affaires sur les logiciels antivirus. Leader m…",2024-11-25T08:31:54Z,"['Core', 'ORDI', 'IQ']"
"Voici Freysa, l'IA à qui vous allez voler 42 000$ de crypto",https://korben.info/swayai-clara-ia-gestion-portefeuille-crypto/manu23_Word_Freysa_in_big_and_centered_bank_vault_in_the_backgr_8912f2e0-014c-4be6-83cf-33d456ef1fe1.webp,"Vous pensiez avoir tout vu en matière d’intelligence artificielle et en cryptomonnaie ? Et bien préparez-vous à découvrir une expérience qui repousse encore un peu plus les limites du n’importe quoi.
Il s’agit d’un chatbot IA, accessible ici, qui contrôle un …",2024-11-28T17:49:54Z,"['Core', 'MON']"
Un MacBook historique entre au Smithsonian après un braquage de Bitcoin,https://korben.info/macbook-historique-smithsonian-braquage-bitcoin-razzlekhan/manu23_Bitcoin_in_the_Smithsonian_museum_8a88b0cf-cf97-4bde-991a-27470be92216-copie.webp,"Installez-vous confortablement avec un bon petit café ou votre petit thé préféré, car ce soir, je vais vous raconter une histoire digne d’un film hollywoodien.
Le héro de cette histoire est un simple MacBook Pro qui vient de faire son entrée au prestigieux mu…",2024-11-20T20:57:08Z,"['Bitcoin', 'WOO', 'IQ', 'Forta']"
Ne tombez plus dans le piège du Pig Butchering,https://korben.info/alerte-arnaque-pig-butchering-conseil-protection/manu23_Pig_Butchering_Scam_porky_pig_looney_tunes_990a4e07-ff33-4f40-a07b-34026cbc4ec2.webp,"Vous avez peut-être reçu récemment un SMS d’une mystérieuse Sophie qui s’est trompée de numéro ? Ou bien un message sur WhatsApp d’un prétendu recruteur qui a repéré votre profil ? Attention, vous êtes probablement la cible d’une arnaque redoutable appelée Pi…",2024-11-21T19:55:03Z,[]
Comment sécuriser son WiFi à la maison ? + Promo Surfshark Black Friday,https://korben.info/securiser-son-wifi-avec-surfshark/manu23_A_rural_sector_with_Wifi_data_flowing_in_the_air_3ed45690-d334-4e5d-b400-a495acd7c584.webp,"– Article en partenariat avec Surfshark –

Salut les bidouilleurs ! Aujourd’hui, on va parler d’un truc super important, mais encore trop souvent négligé : la sécurité de ton réseau WiFi à la maison. Avec tous les objets connectés que nous avons presque tous…",2024-11-18T08:20:50Z,"['Core', 'Ark', 'Prom']"
Google OSS-Fuzz - L'IA qui traque les bugs de sécurité,https://korben.info/google-oss-fuzz-ia-detection-bugs-automatique/manu23_wallpaper_AI_cybersecurity_researcher_by_Google_0f9a09d7-bf9e-4911-885e-8dd3e9653fcf.webp,"La sécurité informatique ressemble parfois à une partie de cache-cache géante entre les développeurs et les bugs, et forcement comme l’erreur est humaine, certains bugs de sécurité, peuvent rester longtemps cachés.
Heureusement, Google vient de sortir l’artil…",2024-11-20T18:33:29Z,"['UMA', 'IQ', 'Velo']"
Case Study: ChainGPT Labs,https://codrops-1f606.kxcdn.com/codrops/wp-content/uploads/2024/11/labs_featured.jpg?x88973,"A look behind the ChainGPT Labs, ChainGPT's new venture capital and incubator for the next generation of web3 startups. Designed by Sigma Software Design team, and compiled into an insight-packed case study by Sigma's designer, Ilya Kostin.",2024-11-19T12:39:55Z,"['ChainGPT', 'SIGMA']"
Crypto : pourquoi le cours de l’XRP explose tout à coup,https://www.presse-citron.net/app/uploads/2024/12/xrp-ripple-hausse-cours.jpg,"L'XRP, la cryptomonnaie native de Ripple, connaît une ascension fulgurante sur les marchés avec une progression spectaculaire de 55% en une semaine, propulsant son cours à 2,28 dollars.",2024-12-02T13:27:30Z,"['XRP', 'ARC', 'MON']"
"Bluesky : attention, les arnaques explosent suite au succès du réseau social",https://www.presse-citron.net/app/uploads/2024/10/bluesky-logo.jpg,La escroqueries se déploient en force sur la plateforme.,2024-11-22T07:25:32Z,['Sui']
At the Money: Matt Hougan on Responsible Crypto Investing,https://ritholtz.com/wp-content/uploads/2024/04/At-the-Money.jpg,"﻿     At the Money: Crypto Curious. November 26, 2024 Are you crypto-curious? Are you interested in owning some bitcoin, Ethereum, or other crypto-coins? How can investors get exposure to the space? Full transcript below. ~~~ About this week’s guest: Matt Hou…",2024-11-26T14:00:42Z,"['Bitcoin', 'Ethereum', 'MON']"
